index_final,product_category_chn,url_example,title_access,url_scrape,700d_specific,750d_specific,Search Keyword,Niche Brand,Avg. Price Esitimate,Brand,Editor,suspect for fake brand,Editors,Names_who_also_saw_this_in_other_lstgs
BD01,肩带,https://detail.tmall.com/item.htm?spm=a230r.1.14.15.57ZLrH&id=44848285990&cm_id=140105335569ed55e27b&abbucket=5&skuId=82840486709,相机背带EW－300D,https://s.taobao.com/search?q=%E4%BD%B3%E8%83%BD+%E7%9B%B8%E6%9C%BA%E8%83%8C%E5%B8%A6&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160102&ie=utf8,0,0,佳能 相机背带,0,20,,Shuying Wu,0,,
BD02,肩带,https://item.taobao.com/item.htm?spm=a230r.1.14.49.rC1TEB&id=43474381580&ns=1&abbucket=13,相机背带 EW－100DB III,https://s.taobao.com/search?q=%E4%BD%B3%E8%83%BD+%E7%9B%B8%E6%9C%BA%E8%83%8C%E5%B8%A6&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160102&ie=utf8,0,0,佳能 相机背带,0,20,Canon,Yimin_Fu,0,,
BD03,肩带,https://item.taobao.com/item.htm?spm=a230r.1.14.53.57ZLrH&id=522606643900&ns=1&abbucket=13,快枪手肩带,https://s.taobao.com/search?q=%E5%BF%AB%E6%9E%AA%E6%89%8B%E8%82%A9%E5%B8%A6&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20151211&ie=utf8,0,0,快枪手肩带,0,35,na,,0,,
BD04,肩带,http://world.taobao.com/item/44419589190.htm#detail,彩色肩带,https://s.taobao.com/search?q=%E5%BD%A9%E8%89%B2%E8%82%A9%E5%B8%A6+%E7%9B%B8%E6%9C%BA&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20151211&ie=utf8,0,0,彩色肩带 相机,0,15,,,0,,
BD05,肩带,http://world.taobao.com/item/45219159638.htm#detail,肩带,https://s.taobao.com/search?q=%E8%82%A9%E5%B8%A6+%E7%9B%B8%E6%9C%BA&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20151211&ie=utf8,0,0,肩带 相机,0,25,NA,Frank_Mei,0,,
BD06,肩带,http://world.tmall.com/item/524363803259.htm#detail?sku_properties=5919063:6536025,GOTO 时尚肩带,https://s.taobao.com/search?q=GOTO+%E8%82%A9%E5%B8%A6&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160117&ie=utf8,0,1,GOTO 肩带,0,15,GOTO,yimin(xinyi),0,,
BJ01,渐变镜,http://world.taobao.com/item/522033862841.htm#detail,多色渐变镜,https://s.taobao.com/search?q=%E5%A4%9A%E8%89%B2%E6%B8%90%E5%8F%98%E9%95%9C&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20151211&ie=utf8&cps=yes&cat=50008090,0,0,相机 渐变镜,0,55,,xuncheng,0,,
BJ02,渐变镜,http://world.taobao.com/item/19999809846.htm#detail,变色镜架＋渐变镜,https://s.taobao.com/search?q=%E5%8F%98%E8%89%B2%E9%95%9C%E6%9E%B6%EF%BC%8B%E6%B8%90%E5%8F%98%E9%95%9C+%E7%9B%B8%E6%9C%BA&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20151211&ie=utf8&cps=yes&cat=50008090,0,0,相机 渐变镜,0,55,,Yimin,0,,
BU01,擦布,https://item.taobao.com/item.htm?spm=a230r.1.14.49.rC1TEB&id=43474381580&ns=1&abbucket=19,数码擦镜布,https://s.taobao.com/search?ie=utf8&initiative_id=staobaoz_20151211&stats_click=search_radio_all%3A1&style=list&js=1&imgfile=&q=%E6%95%B0%E7%A0%81%E6%93%A6%E9%95%9C%E5%B8%83&suggest=history_1&_input_charset=utf-8&wq=%E6%95%B0%E7%A0%81%E6%93%A6%E9%95%9C%E5%B8%83&suggest_query=%E6%95%B0%E7%A0%81%E6%93%A6%E9%95%9C%E5%B8%83&source=suggest,0,0,数码擦镜布,0,15,NA,Yimin_Fu,0,,
BU02,擦布,http://world.taobao.com/item/45219159638.htm#detail,高级擦布,https://s.taobao.com/search?q=%E9%AB%98%E7%BA%A7%E6%93%A6%E5%B8%83&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20151211&ie=utf8&cps=yes&cat=50008090,0,0,擦布,0,10,NA,Frank_Mei,0,,
